,Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadação_Total,Ganhadores_15_Números,Cidade,Ganhadores_14_Números,Ganhadores_13_Números,Ganhadores_12_Números,Ganhadores_11_Números,Valor_Rateio_15_Números,Valor_Rateio_14_Números,Valor_Rateio_13_Números,Valor_Rateio_12_Números,Valor_Rateio_11_Números,Acumulado_15_Números,Estimativa_Prêmio,Valor_Acumulado_Especial
0,1,29/09/2003,2.0,3.0,5.0,6.0,9.0,10.0,11.0,13.0,14.0,16.0,18.0,20.0,23.0,24.0,25.0,"R$0,00",5.0,\r\n\r\n\r\nBA\r\n\r\nPR\r\n\r\nSP\r\n\r\n\r\n,154.0,4645.0,48807.0,257593.0,"R$49.765,82","R$689,84","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
1,,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,06/10/2003,1.0,4.0,5.0,6.0,7.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,20.0,23.0,24.0,"R$0,00",1.0,\r\n\r\n\r\nSP\r\n\r\n\r\n,184.0,6232.0,81252.0,478188.0,"R$596.323,70","R$1.388,95","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
5,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,13/10/2003,1.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,16.0,17.0,20.0,23.0,24.0,"R$0,00",2.0,\r\n\r\n\r\nSP\r\n\r\n\r\n,158.0,6897.0,96244.0,608211.0,"R$400.623,70","R$2.173,36","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
7,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,20/10/2003,1.0,2.0,4.0,5.0,8.0,10.0,12.0,13.0,16.0,17.0,18.0,19.0,23.0,24.0,25.0,"R$0,00",1.0,\r\n\r\n\r\nMT\r\n\r\n\r\n,258.0,9569.0,123912.0,706657.0,"R$902.226,02","R$1.498,72","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
9,,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,27/10/2003,1.0,2.0,4.0,8.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,20.0,23.0,24.0,25.0,"R$0,00",2.0,\r\n\r\n\r\nBA\r\n\r\nMS\r\n\r\n\r\n,472.0,14736.0,195636.0,860992.0,"R$380.017,55","R$687,49","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
11,,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,03/11/2003,1.0,2.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,16.0,17.0,19.0,21.0,23.0,25.0,"R$0,00",2.0,\r\n\r\n\r\nRJ\r\n\r\nRS\r\n\r\n\r\n,393.0,14242.0,162320.0,888301.0,"R$489.140,06","R$1.066,83","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
14,,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,10/11/2003,1.0,4.0,7.0,8.0,10.0,12.0,14.0,15.0,16.0,18.0,19.0,21.0,22.0,23.0,25.0,"R$0,00",9.0,\r\n\r\n\r\nBA\r\n\r\nDF\r\n\r\nGO\r\n\r\nMG\r\n\r\nRJ\r\n\r\nRS\r\n\r\nSP\r\n\r\n\r\n,1333.0,25878.0,206828.0,967358.0,"R$104.625,29","R$301,59","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
17,,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8,17/11/2003,1.0,5.0,6.0,8.0,9.0,10.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,22.0,25.0,"R$0,00",1.0,\r\n\r\n\r\nBA\r\n\r\n\r\n,256.0,11414.0,149037.0,926910.0,"R$1.201.958,08","R$2.012,21","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
25,,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,24/11/2003,3.0,4.0,5.0,9.0,10.0,11.0,13.0,15.0,16.0,17.0,19.0,20.0,21.0,24.0,25.0,"R$0,00",3.0,\r\n\r\n\r\nPR\r\n\r\nSP\r\n\r\n\r\n,407.0,14973.0,213511.0,1104328.0,"R$336.053,65","R$1.061,60","R$10,00","R$4,00","R$2,00","R$0,00","R$0,00","R$0,00"
27,,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
