description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento para venda possui 92 metros quadrados com 3 quartos;Área Especial 4 Módulo E;Guará II;-;3;1;3;2;920000;700;-;-
Apartamento + garagem coberta 70 m2 com 2 quartos;Rua das Pitangueiras;Sul;200;2;1;2;1;560000;600;720;-
Apartamento para venda tem 123 metros quadrados com 3 quartos;Quadra 205;Sul;-;3;1;4;2;820000;800;1556;-
Apartamento para venda com 119 metros quadrados com 3 quartos;SQN 312 Bloco E;Asa Norte;-;3;-;2;1;2150000;568;1189;-
Apartamento para venda com 112 metros quadrados com 3 quartos;SQN 305 Bloco L;Asa Norte;167;3;1;3;1;1350000;780;1955;-
Apartamento para venda possui 50 metros quadrados com 2 quartos;Condomínio Jardins Mangueiral;Jardins Mangueiral;-;2;-;1;1;333000;304;700;-
Apartamento para venda possui 96 metros quadrados com 2 quartos;SHTN;Asa Norte;96;2;-;2;1;1700000;1968;2091;-
Apartamento para venda tem 49 metros quadrados com 2 quartos;Quadra 301;Samambaia Sul;-;2;1;2;1;240000;340;-;-
Apartamento para venda com 60 metros quadrados com 2 quartos c/suíte! Pronto para morar!;Quadra 3 Comércio Local 20;Sobradinho;-;2;1;2;1;279000;200;400;-
Apartamento para venda com 240 metros quadrados com 4 quartos;SQS 216 Bloco G;Asa Sul;329;4;2;5;2;3200000;2072;-;-
Apartamento para venda com 49M² e 2 quartos Top Life Miami Beach;-;Setor Industrial;83;2;-;1;1;320000;269;671;-
Apartamento de alto padrão em Águas Claras;-;Norte;-;3;1;2;2;550000;-;-;-
Apartamento para venda possui 112 metros quadrados com 3 quartos;SQN 107 Bloco G;Asa Norte;-;3;-;2;-;1300000;1200;1720;-
Apartamento para venda com 86 metros quadrados com 3 quartos;SQS 206 Bloco F;Asa Sul;135;3;-;2;1;1170000;1235;1470;-
Apartamento para venda tem 70 metros quadrados com 3 quartos;CNB;Taguatinga Norte;87;3;-;1;1;309000;600;-;-
Idealle a venda oportunidade de 3qts suíte 2 vagas o melhor do Gama;Quadra 2;Setor Industrial;84;3;3;3;2;575000;535;880;-
Apartamento 2 quartos com suíte. Elevador. Portaria 24 hs.;SHCES Quadra 1409 Bloco D;Cruzeiro Novo;50;2;1;2;0;420000;590;0;-
QUADRA 102 Portal dos Lírios, 2 quartos reformado - Águas Claras Brasília - DF;Quadra 102 Praça Perdiz;Norte;139;2;1;3;1;540000;548;1110;-
Apartamento para venda tem 103 metros quadrados com 3 quartos em Asa Norte - Brasília - DF;SQN 210;Asa Norte;103;3;1;3;1;1090000;935;0;-
Apartamento para venda no Acqua Village, 2 quartos com 62 metros quadrados, Sul de Águas Claras - DF;Avenida das Araucárias;Sul;103;2;1;2;1;519900;320;835;-
Ap 1 ou 2. Quartos, lazer completo, muitas felicidades, documentação grátis, subsídio…;QR 407;Samambaia Norte;55;1;0;1;-;176000;200;100;-
Residencial Figueiras – Quadra 101. Apartamento 1 quarto 35;Rua das Figueiras;Norte;-;1;0;1;1;350000;-;-;-
Apartamento para venda com 82 metros quadrados com 3 quartos em Sobradinho - Brasília - DF;Quadra 9;Sobradinho;-;3;1;2;1;600000;500;800;-
1 ou 2 quartos, ganhe desconto na compra, documentação grátis, veja vantagens;QR 407 Conjunto 2;Samambaia Norte;56;2;0;1;1;176300;200;100;-
APARTAMENTOS COM 2 QUARTOS - ACEITO CARRO - COLÔNIA AGRÍCOLA SAMAMBAIA;Gemétris Chácara 1;Setor Habitacional Vicente Pires - Trecho 3;70;2;0;1;1;220000;300;600;-
Apartamento Espetacular com 3 Quartos na Asa Norte !!! 750.000 !!!;SQN 404 Bloco G;Asa Norte;-;3;1;3;-;750000;500;1501;-
