description;address;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento + garagem coberta 70 m2 com 2 quartos;-;['200'];[2];[1];[2];[1];560000;600;720;-
Apartamento para venda possui 92 metros quadrados com 3 quartos;-;[];[3];[1];[3];[2];920000;700;-;-
Apartamento para venda tem 123 metros quadrados com 3 quartos;-;[];[3];[1];[4];[2];820000;800;1556;-
Apartamento para venda possui 96 metros quadrados com 2 quartos;-;['96'];[2];[];[2];[1];1700000;1968;2091;-
Apartamento para venda com 119 metros quadrados com 3 quartos;-;[];[3];[];[2];[1];2150000;568;1189;-
Apartamento para venda com 112 metros quadrados com 3 quartos;-;['167'];[3];[1];[3];[1];1350000;780;1955;-
Apartamento para venda possui 112 metros quadrados com 3 quartos;-;[];[3];[];[2];[];1300000;1200;1720;-
Apartamento para venda possui 50 metros quadrados com 2 quartos;-;[];[2];[];[1];[1];333000;304;700;-
Apartamento para venda com 240 metros quadrados com 4 quartos;-;['329'];[4];[2];[5];[2];3200000;2072;-;-
Apartamento para venda com 49M² e 2 quartos Top Life Miami Beach;-;['83'];[2];[];[1];[1];320000;269;671;-
Apartamento para venda com 60 metros quadrados com 2 quartos c/suíte! Pronto para morar!;-;[];[2];[1];[2];[1];279000;200;400;-
Apartamento para venda tem 49 metros quadrados com 2 quartos;-;[];[2];[1];[2];[1];240000;340;-;-
Apartamento para venda tem 70 metros quadrados com 3 quartos;-;['87'];[3];[];[1];[1];309000;600;-;-
Apartamento de alto padrão em Águas Claras;-;[];[3];[1];[2];[2];550000;-;-;-
Apartamento para venda com 86 metros quadrados com 3 quartos;-;['135'];[3];[];[2];[1];1170000;1235;1470;-
Idealle a venda oportunidade de 3qts suíte 2 vagas o melhor do Gama;-;['84'];[3];[3];[3];[2];575000;535;880;-
Apartamento à venda 02 quartos, 76m², vista livre na Rua 30 Sul Águas Claras – DF;-;['116'];[2];[0];[2];[1];499000;-;-;-
Apartamento 3Q, 68m Qr 120 Samambaia Sul;-;['70'];[3];[1];[2];[1];279000;-;-;-
Renda média de 2 mil, lazer completo, bem localizado;-;['58'];[2];[0];[1];[1];179000;200;100;-
QUADRA 102 Portal dos Lírios, 2 quartos reformado - Águas Claras Brasília - DF;-;['139'];[2];[1];[3];[1];540000;548;1110;-
Apartamento para venda tem 69 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;-;['69'];[2];[0];[1];[1];260000;480;0;-
Excelente Cobertura Duplex - SQN 211;-;[];[2];[2];[5];[2];3000000;1200;3108;-
Apartamento para venda Samambaia Sul - Edf. SIENNA - NOVO;-;['58'];[1];[1];[1];[1];169900;450;600;-
Apartamento 2 quartos 74m2 Águas Claras;-;['74'];[2];[1];[2];[1];590000;-;-;-
Apartamento para venda possui 61 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;-;['61'];[2];[1];[2];[1];345000;300;600;-
Apartamento para venda possui 58² Samambaia Norte Quadra 613;-;['58'];[2];[0];[1];[1];250000;-;-;-
Ap 1 ou 2. Quartos, lazer completo, muitas felicidades, documentação grátis, subsídio…;-;['55'];[1];[0];[1];[];176000;200;100;-
Apartamento Espetacular com 3 Quartos na Asa Norte !!! 750.000 !!!;-;[];[3];[1];[3];[];750000;500;1501;-
Apartamento para venda com 82 metros quadrados com 3 quartos em Sobradinho - Brasília - DF;-;[];[3];[1];[2];[1];600000;500;800;-
Apartamento 02 qts Total Ville;-;[];[2];[];[1];[1];160000;0;0;-
Apartamento De 3 Quartos Com Dce, Reformado E Com Vista Livre - Sudoeste, Brasília DF;-;[];[3];[1];[3];[1];1490000;1254;2440;-
Apartamento para Venda em Brasília, Setor Sudoeste, 2 dormitórios, 1 banheiro;-;['60'];[2];[0];[1];[0];585000;569;0;-
VENDA - CRUZEIRO NOVO - 2 QUARTOS;-;['88'];[2];[0];[2];[0];480000;430;0;-
Residencial Spazio Brizas Águas Claras - 4 Quartos - VAZIO - 2 VAGAS;-;['94'];[4];[1];[3];[2];740000;755;1164;-
Apartamento com 2 quartos - Residencial Santos Dumont;-;[];[2];[0];[1];[2];195000;180;0;-
1 ou 2 quartos, ganhe desconto na compra, documentação grátis, veja vantagens;-;['56'];[2];[0];[1];[1];176300;200;100;-
Apartamento para venda com 58 metros quadrados com 2 quartos em Jardins Mangueiral - Brasília - DF;-;['87'];[2];[0];[1];[1];295000;380;522;-
Apartamento 03 quartos à venda, reformado, nascente, andar alto QD 205 Águas Claras - DF;-;[];[3];[1];[3];[3];980000;846;1280;-
QSC 05, Res. Carmenes, Apto 4 qtos, Excelente localização!!!;-;['147'];[4];[1];[3];[2];730000;0;0;-
Gamaggiore 3 quartos;-;[];[3];[1];[2];[2];360000;0;0;-
Apartamento para venda com 2 quartos em Águas Claras;-;['58'];[2];[1];[2];[1];380000;590;1;-
Apartamento 2 quartos com suíte. Elevador. Portaria 24 hs.;-;['50'];[2];[1];[2];[0];420000;590;0;-
Vende-se Urgente Ótimo apartamentoQn 5 Cond 10 do riacho fundo 2;-;[];[2];[0];[1];[1];147000;260;-;-
Apartamento 2 quartos em Samambaia Sul - Brasília - DF;-;['59'];[2];[1];[2];[1];360000;500;450;-
Vendo Apartamento com Excelente Localização em Ceilândia Norte - Brasília - DF;-;['46'];[1];[];[1];[1];151000;360;217;-
Apartamento para venda tem 103 metros quadrados com 3 quartos em Asa Norte - Brasília - DF;-;['103'];[3];[1];[3];[1];1090000;935;0;-
Apartº 120 m2, 4 quartos, 3 garagem, Aguas Claras - Brasília - DF;-;['280'];[4];[1];[3];[3];850000;846;1500;-
Apartamento para venda com 119 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[1];[2];[2];850000;0;0;-
Vendo maravilhoso apartamento 2 Quartos Taguatinga Centro;-;['60'];[2];[0];[1];[1];275000;450;130;-
Apartamento para venda tem 61 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;-;['61'];[2];[1];[2];[1];334900;592000;652000;-
Apartamento para venda no Acqua Village, 2 quartos com 62 metros quadrados, Sul de Águas Claras - DF;-;['103'];[2];[1];[2];[1];519900;320;835;-
Apartamento para venda tem 188 metros quadrados com 3 quartos em Norte - Brasília - DF;-;[];[3];[3];[5];[3];1339528;0;0;-
Apartamento para venda possui 102 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;-;['122'];[2];[2];[2];[2];800000;700;700;-
Asa Norte, apartamento de 1 quarto no Condomínio Monte Carlo;-;[];[1];[0];[1];[0];260000;280;0;-
Vendo agio no Gamaggiore;-;['57'];[2];[1];[2];[1];145000;-;-;-
Ganhe desconto pelo programa casa verde e amarela e compre até 100% financiado;-;['58'];[2];[0];[1];[1];176030;-;-;-
Apartamento à venda 3 quartos,1 suíte, 68m² QD 301 Resid.Ilha do Mel, Águas Claras - DF;-;['120'];[3];[1];[2];[2];470000;583;-;-
Rua 31 Sul, Res. Sedgwick, 3 qtos, sendo 2 suítes.Aceito imóvel de menor valor!!!;-;['89'];[3];[2];[3];[2];699000;700;0;-
Belíssimo Apartamento 3 Quartos Asa Sul !!! 950.000 !!!;-;[];[3];[0];[2];[0];950000;579;1548;-
Preço mais baixo da região, dentro do programa casa verde e amarela;-;['55'];[1];[0];[1];[1];175000;200;100;-
QC-5 CONDOMÍNIO 10 - Apto de 2 quartos reformado!!! Aceita financiamento...;-;[];[2];[0];[1];[1];150000;300;0;-
alto padrao com 2 suítes e lavabo, Noroeste, Infinite Residence.;-;['75'];[2];[2];[3];[1];1139000;750;200;-
Apartamento para venda tem 50 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;['62'];[2];[0];[1];[1];185000;329;356;-
Muitas vantagens e facilidades pelo programa casa verde e amarela, veja como conseguei;-;['54'];[2];[0];[1];[1];175600;200;100;-
Apartamento para venda tem 61 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;-;[];[2];[1];[2];[1];225000;340;300;-
Apartamento para venda possui 59 metros quadrados com 2 quartos em Norte - Brasília - DF;-;[];[2];[1];[2];[1];359042;0;0;-
Lindos apto - Edifício Le Quartier Boulevard - 2 suites - Taguatinga Norte;-;['98'];[2];[2];[1];[1];280000;350;500;-
04 suítes, 194 m2, 05vagas - Vazado - PRONTO PARA MORAR - Setor Noroeste;-;[];[4];[4];[6];[4];2520000;0;0;-
Apto Champs Elysees 2 Quartos Vista Livre Setor Central - Gama - DF;-;['48'];[2];[];[1];[1];185000;200;700;-
Apto 2 Qrtos sendo 1 Suíte, com Garagem, Resid. Free – Ceilândia Sul - a 150 metros do metrô;-;['96'];[2];[1];[1];[1];249900;399;410;-
Apartamento à venda - Asa Norte - Brasília/DF - 2ª Praça às 10h00;-;['68'];[1];[0];[1];[0];375600;0;0;-
Apartamento para venda possui 38 metros quadrados com 1 quarto, armários, Águas Claras Sul - DF;-;['78'];[1];[0];[1];[1];313000;312;660;-
Apartamento em Samambaia Norte;-;['65'];[3];[1];[2];[1];250000;350;-;-
Apartamento para venda possui 33 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;['56'];[2];[0];[1];[1];175000;200;100;-
Apartamento para venda tem 123 metros quadrados com 3 quartos em Asa Norte - Brasília - DF;-;['207'];[3];[1];[3];[1];1380000;900;0;-
Apartamento para venda tem 402 metros quadrados com 4 quartos em Setor Noroeste - Brasília - DF;-;[];[4];[4];[5];[4];5192000;0;0;-
Apartamento 2 quartos reformado Riacho fundo l l condomínio 20;-;['70'];[2];[0];[1];[1];168000;306;-;-
Apartamento para venda tem 52 metros quadrados com 2 quartos em Guará II - Brasília - DF;-;[];[2];[];[1];[1];394000;0;0;-
Apartamento reformado com 2 quartos à venda na SQN 116;-;['54'];[2];[0];[2];[];750000;461;0;-
Venda apartamento com 2 quarto- possui 64 m² em Norte - Águas Claras - DF;-;['84'];[2];[1];[2];[2];600000;600;900;-
